"","dyad",".id","edge","edge_sd","nAssociations","A","B","sexA","sexB","dyadicSex","dSex","absAgeA","absAgeB","ageDiff","resA","resB","dyadicResidency","dRes","likely.k","pk1","pk2","pk3","ageDiff_scaled","wang","wang.low","wang.high"
"66","1313_480",2,0.00827745547878254,0.0130799926074839,0,"1313","480","FemaleJ","Male","FemaleJ_Male","F-M",35,43,8,"Resident","Resident","Resident_Resident","R-R",1,0.757518,0.240905,0.001577,0.223905825731093,0.1967,-0.0799,0.4994
"67","1313_5001",2,0.0134142615290849,0.0264689280969037,0,"1313","5001","FemaleJ","Male","FemaleJ_Male","F-M",35,22,13,"Resident","Resident","Resident_Resident","R-R",1,0.666546,0.320715,0.012739,0.974843281338958,0.147,-0.1354,0.3719
"68","1313_5009",3,0.00917059773197315,0.0146554625331985,0,"1313","5009","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",35,23,12,"Resident","Resident","Resident_Resident","R-R",1,0.582922,0.415026,0.002052,0.849403184604736,0.3831,0.2315,0.6065
"69","1313_5019",2,0.00954126113739312,0.0156126615326924,0,"1313","5019","FemaleJ","Male","FemaleJ_Male","F-M",35,23,12,"Resident","Resident","Resident_Resident","R-R",1,0.715572,0.279914,0.004514,0.824655790217385,-0.161,-0.5568,0.0927
"70","1313_5029",3,0.00934897739911572,0.01476612357003,0,"1313","5029","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",35,23,12,"Resident","Resident","Resident_Resident","R-R",1,0.582922,0.415026,0.002052,0.849403184604736,0.1254,-0.146,0.4497
"71","1313_5061",2,0.0105955868525595,0.0175669352196327,0,"1313","5061","FemaleJ","Male","FemaleJ_Male","F-M",35,22,13,"Resident","Resident","Resident_Resident","R-R",1,0.695596,0.297348,0.007056,0.974843281338958,0.3132,-0.0029,0.5405
"72","1313_5112",3,0.0119413613521904,0.0221547859380688,0,"1313","5112","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",35,23,12,"Resident","Resident","Resident_Resident","R-R",1,0.513733,0.473409,0.012858,0.849403184604736,0.1088,-0.3302,0.3652
"73","1313_54",3,0.0267468701546536,0.0279508205455782,1,"1313","54","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",35,44,9,"Resident","Resident","Resident_Resident","R-R",2,0.032403,0.952574,0.015023,0.430827430709614,-0.1147,-0.4654,0.2541
"74","1313_677",3,0.0105733569576771,0.0180916808887843,0,"1313","677","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",35,37,2,"Resident","Resident","Resident_Resident","R-R",1,0.538041,0.454956,0.007003,-0.545849328379004,-0.0557,-0.3641,0.2781
"75","1313_76",2,0.00820343032680275,0.0115625093655555,0,"1313","76","FemaleJ","Male","FemaleJ_Male","F-M",35,44,9,"Resident","Resident","Resident_Resident","R-R",1,0.763052,0.235592,0.001356,0.374093316852666,0.1266,-0.2091,0.4473
"76","1313_804",2,0.00730207620331632,0.0107410910928491,0,"1313","804","FemaleJ","Male","FemaleJ_Male","F-M",35,39,4,"Resident","Resident","Resident_Resident","R-R",1,0.794135,0.205319,0.000546,-0.3768441387552,-0.1386,-0.4511,0.2287
"77","1313_824",2,0.00777911779683468,0.0112243684552435,0,"1313","824","FemaleJ","Male","FemaleJ_Male","F-M",35,39,4,"Resident","Resident","Resident_Resident","R-R",1,0.779035,0.220104,0.000861,-0.3768441387552,0.0528,-0.2749,0.3839
"78","1313_92",2,0.00931486741204384,0.015847663597651,0,"1313","92","FemaleJ","Male","FemaleJ_Male","F-M",35,43,8,"Resident","Resident","Resident_Resident","R-R",1,0.734277734277734,0.262842262842263,0.00288000288000288,0.223905825731093,0.1656,-0.1601,0.4446
"79","1313_961",3,0.0107506325216085,0.0185117491583984,0,"1313","961","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",35,36,1,"Resident","Resident","Resident_Resident","R-R",1,0.530124,0.461296,0.00858,-0.685374579677377,0.0119,-0.2411,0.3557
"80","1315_1329",3,0.0122120521258001,0.0220363682262286,0,"1315","1329","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",36,36,0,"Transient","Resident","Resident_Transient","R-T",1,0.505197,0.479079,0.015724,-0.824899830975751,-0.0169,-0.373,0.3078
"81","1315_1336",3,0.0121987288220193,0.0242855641326332,0,"1315","1336","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",36,39,3,"Transient","Resident","Resident_Transient","R-T",1,0.513733,0.473409,0.012858,-0.40632407708063,0.0514,-0.2593,0.3693
"82","1315_162",3,0.0111925558147378,0.019815086734159,0,"1315","162","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",36,44,8,"Transient","Resident","Resident_Transient","R-T",1,0.513733,0.473409,0.012858,0.29130217941124,-0.1299,-0.585,0.1942
"83","1315_251",3,0.0130181526824752,0.0237305511132149,0,"1315","251","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",36,43,7,"Transient","Resident","Resident_Transient","R-T",1,0.496380503619496,0.484406515593484,0.0192129807870192,0.151776928112866,0.1997,-0.2084,0.505
"84","1315_413",2,0.0107240861102761,0.0186364708648914,0,"1315","413","FemaleJ","Male","FemaleJ_Male","F-M",36,43,7,"Transient","Resident","Resident_Transient","R-T",1,0.702409,0.291509,0.006082,0.0737183346095196,-0.1272,-0.4378,0.2731
"85","1315_45",2,0.0106805130291767,0.0183625993740588,0,"1315","45","FemaleJ","Male","FemaleJ_Male","F-M",36,44,8,"Transient","Resident","Resident_Transient","R-T",1,0.715572,0.279914,0.004514,0.223905825731093,0.2571,-0.0509,0.4751
"86","1315_480",2,0.0121581102712652,0.0212431026508667,0,"1315","480","FemaleJ","Male","FemaleJ_Male","F-M",36,43,7,"Transient","Resident","Resident_Transient","R-T",1,0.688615,0.303201,0.008184,0.0737183346095196,0.4037,0.0469,0.6715
"87","1315_54",3,0.00932519996186152,0.0150485626290018,0,"1315","54","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",36,44,8,"Transient","Resident","Resident_Transient","R-T",1,0.582922,0.415026,0.002052,0.29130217941124,0.1143,-0.1212,0.3595
"88","1315_619",3,0.0555114020005892,0.0659463773057279,1,"1315","619","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",36,40,4,"Transient","Resident","Resident_Transient","R-T",2,0.018276,0.802527,0.179197,-0.266798825782256,-0.2465,-0.6392,0.0892
"89","1315_677",3,0.0110351499909468,0.0189351972616305,0,"1315","677","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",36,37,1,"Transient","Resident","Resident_Transient","R-T",1,0.522031,0.467462,0.010507,-0.685374579677377,0.134,-0.2492,0.3673
"90","1315_76",2,0.0121816548720721,0.0220010014072985,0,"1315","76","FemaleJ","Male","FemaleJ_Male","F-M",36,44,8,"Transient","Resident","Resident_Transient","R-T",1,0.674104674104674,0.314899314899315,0.010996010996011,0.223905825731093,0.1661,-0.131,0.4602
"91","1315_804",2,0.0113836255560954,0.0206561812437285,0,"1315","804","FemaleJ","Male","FemaleJ_Male","F-M",36,39,3,"Transient","Resident","Resident_Transient","R-T",1,0.688615,0.303201,0.008184,-0.527031629876773,0.0863,-0.3012,0.3755
"92","1315_824",2,0.0129135412393794,0.0238058291675712,0,"1315","824","FemaleJ","Male","FemaleJ_Male","F-M",36,39,3,"Transient","Resident","Resident_Transient","R-T",1,0.674104674104674,0.314899314899315,0.010996010996011,-0.527031629876773,0.1172,-0.1755,0.4404
"93","1315_92",2,0.0103489306897546,0.0162138539202941,0,"1315","92","FemaleJ","Male","FemaleJ_Male","F-M",36,43,7,"Transient","Resident","Resident_Transient","R-T",1,0.688615,0.303201,0.008184,0.0737183346095196,-0.242,-0.6079,0.1194
"94","1315_961",3,0.0102203584528236,0.0163328076996124,0,"1315","961","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",36,36,0,"Transient","Resident","Resident_Transient","R-T",1,0.538041,0.454956,0.007003,-0.824899830975751,-0.1788,-0.4972,0.2354
"95","1329_1336",3,0.0110955293058627,0.0183396118873123,0,"1329","1336","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",36,39,3,"Resident","Resident","Resident_Resident","R-R",1,0.522031,0.467462,0.010507,-0.40632407708063,-0.0045,-0.5215,0.3423
"96","1329_162",3,0.0123135234060776,0.0227180878000871,0,"1329","162","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",36,44,8,"Resident","Resident","Resident_Resident","R-R",1,0.513733,0.473409,0.012858,0.29130217941124,-0.3567,-0.7059,0.0365
"97","1329_251",3,0.0103921020580944,0.0173751662096379,0,"1329","251","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",36,43,7,"Resident","Resident","Resident_Resident","R-R",1,0.538041,0.454956,0.007003,0.151776928112866,-0.2127,-0.6016,0.2262
"98","1329_413",2,0.0352554124688985,0.0384162489024305,1,"1329","413","FemaleJ","Male","FemaleJ_Male","F-M",36,43,7,"Resident","Resident","Resident_Resident","R-R",2,0.185550185550186,0.76967576967577,0.0447740447740448,0.0737183346095196,-0.1372,-0.6678,0.2036
"99","1329_45",2,0.00684398305350631,0.00950183105322882,0,"1329","45","FemaleJ","Male","FemaleJ_Male","F-M",36,44,8,"Resident","Resident","Resident_Resident","R-R",1,0.808396,0.191259,0.000345,0.223905825731093,0.2098,-0.1012,0.4706
"100","1329_480",2,0.0112041379470852,0.020004028268341,0,"1329","480","FemaleJ","Male","FemaleJ_Male","F-M",36,43,7,"Resident","Resident","Resident_Resident","R-R",1,0.695596,0.297348,0.007056,0.0737183346095196,0.0327,-0.2748,0.3541
"101","1329_54",3,0.00752493182569711,0.0109845564505498,0,"1329","54","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",36,44,8,"Resident","Resident","Resident_Resident","R-R",1,0.631589,0.367928,0.000483,0.29130217941124,-0.0685,-0.4312,0.2323
"102","1329_619",3,0.0111975354608941,0.0188116675731279,0,"1329","619","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",36,40,4,"Resident","Resident","Resident_Resident","R-R",1,0.513733,0.473409,0.012858,-0.266798825782256,0.0332,-0.2988,0.321
"103","1329_677",3,0.0112992675636597,0.0206875870228288,0,"1329","677","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",36,37,1,"Resident","Resident","Resident_Resident","R-R",1,0.530124,0.461296,0.00858,-0.685374579677377,0.0082,-0.3832,0.3099
