"","dyad","edge","edge_sd","nAssociations","A","B","sexA","sexB","dyadicSex","dSex","absAgeA","absAgeB","ageDiff","resA","resB","dyadicResidency","dRes","likely.k","pk1","pk2","pk3","ageDiff_scaled"
"102","1020_507",0.00862577731573462,0.0138960514331172,0,"1020","507","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,40,3,"Resident","Resident","Resident_Resident","R-R",1,0.590079,0.408251,0.00167,-0.40632407708063
"103","1020_531",0.00877086270938256,0.0133362716033036,0,"1020","531","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,43,6,"Resident","Resident","Resident_Resident","R-R",1,0.597163,0.401478,0.001359,0.0122516768144921
"104","1020_54",0.00805832353791046,0.0123934687617281,0,"1020","54","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,44,7,"Resident","Resident","Resident_Resident","R-R",1,0.638285,0.361322,0.000393,0.151776928112866
"105","1020_617",0.00942232849236728,0.0151976880171665,0,"1020","617","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,40,3,"Resident","Resident","Resident_Resident","R-R",1,0.568367568367568,0.428539428539429,0.00309300309300309,-0.40632407708063
"106","1020_619",0.00936380484065808,0.0167533322260453,0,"1020","619","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,40,3,"Resident","Resident","Resident_Resident","R-R",1,0.575687,0.421793,0.00252,-0.40632407708063
"107","1020_633",0.0110057320119661,0.0178816083708016,0,"1020","633","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,40,3,"Resident","Resident","Resident_Resident","R-R",1,0.530124,0.461296,0.00858,-0.40632407708063
"108","1020_635",0.00997082468803963,0.0158409933314817,0,"1020","635","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,40,3,"Resident","Resident","Resident_Resident","R-R",1,0.560954439045561,0.435248564751435,0.0037969962030038,-0.40632407708063
"109","1020_649",0.00923203397960879,0.0136701959585522,0,"1020","649","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,37,0,"Resident","Resident","Resident_Resident","R-R",1,0.575687,0.421793,0.00252,-0.824899830975751
"110","1020_653",0.00922895645754078,0.0139657038666014,0,"1020","653","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,40,3,"Resident","Resident","Resident_Resident","R-R",1,0.560954439045561,0.435248564751435,0.0037969962030038,-0.40632407708063
"111","1020_674",0.0102133657034112,0.0174362494496852,0,"1020","674","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,40,3,"Resident","Resident","Resident_Resident","R-R",1,0.553439,0.441903,0.004658,-0.40632407708063
